niche,sub_service,specific_service,phrase,urgency,outcome,paid
pest control,rodents,mice / rat control,"I have a mouse problem, so I'm wondering if I could get an estimate on what you would charge for pest control for mice",routine,booked,1
pest control,rodents,mice / rat control,I just need to get someone to come out and explain what going on here and then let me know what they think,routine,booked,1
pest control,rodents,mice / rat control,just looking to get some more information about the services that you offer,routine,no_sale,0
pest control,rodents,mice / rat control,It's a store in El Paso that needs service. They have some bugs and a mouse,routine,no_sale,0
pest control,rodents,mice / rat control,if we could have someone come out and trap it and remove the mouse for us,urgent,callback,1
pest control,rodents,mice / rat control,I discovered what seems to be a mouse infestation in my attic last night.,routine,no_sale,0
pest control,rodents,mice / rat control,"I have a mouse issue, and I'm not sure how infiltrated I am.",urgent,unknown,1
pest control,rodents,mice / rat control,I'm looking for like a demolition rodent abatement survey.,routine,no_sale,0
pest control,rodents,mice / rat control,There's like a strong smell coming out of like the ducts,urgent,booked,1
pest control,rodents,mice / rat control,I'd like someone to come out and take a look at removal.,routine,no_sale,0
pest control,rodents,mice / rat control,"It's a 16 by 72 mobile home, pretty severe infestation",routine,booked,1
pest control,rodents,mice / rat control,We might have some wasps that we need to take care of.,routine,unknown,1
pest control,rodents,mice / rat control,It's a mouse problem and inside wall from the garage.,urgent,unknown,1
pest control,rodents,mice / rat control,I'm calling because I'm having problems with mice.,routine,no_sale,0
pest control,rodents,mice / rat control,an estimate would be for your rodent damage repair,routine,callback,1
pest control,rodents,mice / rat control,we just have a mice problem in one of our vehicles,routine,no_sale,1
pest control,rodents,mice / rat control,I think mice. I just need to have it serviced,routine,callback,1
pest control,rodents,mice / rat control,I have a mouse problem that I need help with,urgent,booked,1
pest control,rodents,mice / rat control,I have a mice issue at one of our houses.,routine,unknown,1
pest control,rodents,mice / rat control,I need something to come out and remove,routine,no_sale,0
pest control,rodents,mice / rat control,help treat mice problems in a vehicle,routine,no_sale,1
pest control,rodents,mice / rat control,I am looking for rodent removal,routine,not_connected,1
pest control,rodents,mice / rat control,Removes mice in the humane way.,routine,no_sale,1
pest control,rodents,mice / rat control,I'm looking for pest control.,routine,no_sale,0
pest control,rodents,mice / rat control,a business that removes mice,routine,no_sale,1
pest control,rodents,mice / rat control,I have a mouse problem.,routine,unknown,1
pest control,rodents,mice / rat control,we have a rodent issue,routine,no_sale,0
pest control,rodents,mice / rat control,I need to get removed,routine,unknown,1
pest control,rodents,mice / rat control,I got a mouse problem,routine,no_sale,1
pest control,rodents,mice / rat control,"we have rodents outside in our garden, and I was wondering if you offer any kind of extermination or control",routine,no_sale,1
pest control,rodents,mice / rat control,a total of three mice inside the house and two in the call space over the last few weeks.,routine,unknown,1
pest control,rodents,mice / rat control,we have to figure out how to get these things out or unfortunately kill them or whatever.,routine,no_sale,0
pest control,rodents,mice / rat control,just like we have a bunch of dogs so we want it to be like safe and not poison our dogs,routine,quoted,1
pest control,rodents,mice / rat control,"seal off where they're coming in and actually, like, decontaminate the area under there",urgent,booked,1
pest control,rodents,mice / rat control,"after you guys kill the rodents, mice, whatever, you do preventative applications",routine,no_sale,0
pest control,rodents,mice / rat control,I have a rat's nest with a mother and some babies inside a generator cabinet,routine,unknown,1
pest control,rodents,mice / rat control,we've had them basically in our crawl space and also in the house in winter,routine,no_sale,1
pest control,rodents,mice / rat control,Do you have somebody that can come out and take a look and give me a quote?,urgent,unknown,1
pest control,rodents,mice / rat control,I'm hearing wee little critters crawling around my attic above my head,routine,no_sale,0
pest control,rodents,mice / rat control,I just don't want to get into something that's way over my limit,routine,booked,1
pest control,rodents,mice / rat control,maybe this weekend if you have someone on call or after hours,urgent,callback,1
pest control,rodents,mice / rat control,I just saw one kind of poke his head out like 20 minutes ago,urgent,booked,1
pest control,rodents,mice / rat control,I just want all my stuff to be clean so I can move it out,routine,no_sale,1
pest control,rodents,mice / rat control,we have caught a mouse each time in the master bathroom.,routine,unknown,1
pest control,rodents,mice / rat control,How much you charge I'm just getting an estimate first.,routine,not_connected,1
pest control,rodents,mice / rat control,"cleaning services for a storage locker, rodent-related",routine,no_sale,1
pest control,rodents,mice / rat control,"Rodent in garage, crawl space, and living area of home",routine,no_sale,0
pest control,rodents,mice / rat control,"how much it would cost for, like, a three-level home",routine,booked,1
pest control,rodents,mice / rat control,Rodent abatement survey for a fire demolished house.,routine,no_sale,0
pest control,rodents,mice / rat control,my cat has been bringing in deer mice into the house,routine,not_connected,1
pest control,rodents,mice / rat control,"help us get under control and, like, get rid of them",routine,no_sale,1
pest control,rodents,mice / rat control,"No, I'm a real estate agent doing this for a client",routine,callback,1
pest control,rodents,mice / rat control,Do you have a one-time treatment that you could do,routine,booked,1
pest control,rodents,mice / rat control,"on the one house, they're just all over the place",routine,quoted,1
pest control,rodents,mice / rat control,we trapped like seven mice out of the crawl space,urgent,booked,1
pest control,rodents,mice / rat control,It's a commercial property. It's a retail store.,unknown,no_sale,0
pest control,rodents,mice / rat control,we're hoping to have like a yearly plan for them,routine,unknown,1
pest control,rodents,mice / rat control,we just want to put them on a pest control plan,routine,unknown,1
pest control,rodents,mice / rat control,plug up the two holes where they're coming in,routine,unknown,1
pest control,rodents,mice / rat control,"Is there any humane way to kill mice, though?",routine,booked,1
pest control,rodents,mice / rat control,"Mice or rat in my garage, and I'm in a duplex",urgent,booked,1
pest control,rodents,mice / rat control,Block holes? Fill holes? What do you guys do?,routine,no_sale,0
