Campaign,Ad Group,Audience,Bid Modifier,Flexible Reach,Comment
Glass Partitions Dubai,,Home Improvement,25%,,IN_MARKET | observation | Core intent for renovation/fabrication buyers
Glass Partitions Dubai,,Door & Window Installation,25%,,IN_MARKET | observation | High relevance to aluminium door installs
Glass Partitions Dubai,,General Contracting & Remodeling Services,20%,,IN_MARKET | observation | Renovation buyers likely need partitions
Glass Partitions Dubai,,Architectural Services,15%,,IN_MARKET | observation | Design-conscious buyers of glass systems
Glass Partitions Dubai,,Business Technology,15%,,IN_MARKET | observation | Office fitout buyers overlap segment
Glass Partitions Dubai,,Office Furniture,20%,,IN_MARKET | observation | Office buyers furnishing new spaces
Glass Partitions Dubai,,Residential Properties (For Sale),15%,,IN_MARKET | observation | New homeowners needing fabrication work
Glass Partitions Dubai,,Pools & Spas,20%,,IN_MARKET | observation | Pool area glass balustrade relevance
Glass Partitions Dubai,,Garden & Outdoor Furniture,20%,,IN_MARKET | observation | Outdoor living buyers seeking pergolas
Glass Partitions Dubai,,Flooring,15%,,IN_MARKET | observation | Staircase renovation crossover buyers
Glass Partitions Dubai,,Home Decor Enthusiasts,15%,,AFFINITY | observation | Design-focused homeowners upgrading interiors
Glass Partitions Dubai,,Do-It-Yourselfers,10%,,AFFINITY | observation | Home improvement engaged audience
Glass Partitions Dubai,,Business Professionals,15%,,AFFINITY | observation | Decision-makers for office fitouts
Glass Partitions Dubai,,Luxury Shoppers,,Audience segments,"AFFINITY | targeting | Premium fabrication buyers, narrow targeting"
